"id","label","rank","x","y"
50285,"Osca",80,-0.410,42.139
50286,"Ostia/Portus",90,12.287,41.754
50287,"Ovilava",80,14.026,48.163
50288,"Oxyrhynchus",80,30.626,28.672
50289,"Palantia",60,-5.383,42.446
50290,"Palmyra",90,38.285,34.559
50291,"Paraetonium",80,27.225,31.356
50292,"Parma",80,10.332,44.803
50293,"Parthanum",60,11.085,47.491
50294,"Patavium",90,11.876,45.409
50295,"Pax Iulia",90,-7.851,37.997
50296,"Pella",80,22.522,40.773
50297,"Pelusium",90,32.567,31.043
50298,"Penne Locos",60,6.917,46.397
50299,"Perdices",70,5.367,35.845
50300,"Pergamum",90,27.181,39.140
50301,"Perinthus",80,27.957,40.977
50302,"Petra",90,35.464,30.325
50303,"Petuaria",70,-0.592,53.687
50304,"Philadelpheia",90,35.934,31.946
50305,"Philippi",80,24.291,41.018
50306,"Philippopolis",90,24.735,42.146
50307,"Pisae",90,10.396,43.715
50308,"Pistoriae",80,10.892,43.934
50309,"Placentia",90,9.698,45.051
50310,"Poetovio",80,15.869,46.419
50311,"Pola",80,13.840,44.869
50312,"Pompeii",80,14.484,40.748
50313,"Pompelo",70,-1.652,42.800
50314,"Pons Aeni",70,12.118,47.881
50315,"Pons Drusi",60,11.343,46.475
50316,"Porolissum",80,23.194,47.168
50317,"Portus",0,41.78,12.258
50318,"Potaissa",80,23.756,46.561
50319,"Praetorium",70,15.968,31.286
50320,"Ptolemais",90,20.950,32.707
50321,"Ptolemais Hermiou",80,31.804,26.477
50322,"Puteoli",90,14.106,40.830
50323,"Ravenna",90,12.212,44.423
50324,"Reate",80,12.860,42.402
50325,"Castra Regina",80,12.102,49.011
50326,"Regium",80,15.643,38.108
50327,"Roma",100,12.485,41.891
50328,"Rusaddir",80,-2.940,35.283
50329,"Rusicade",80,6.912,36.885
50330,"Rutupiae",70,1.318,51.302
50331,"Sabratha",90,12.484,32.805
50332,"Saguntum",80,-0.269,39.666
50333,"Sala",80,-6.810,34.005
50334,"Saldae",80,5.071,36.762
50335,"Salernum",80,14.765,40.677
50336,"Salona",90,16.500,43.531
50337,"Samarobriva",70,2.287,49.892
50338,"Samosata",90,38.516,37.528
50339,"Santicum",70,13.874,46.635
50340,"Sardis",90,28.065,38.476
50341,"Sarmizegethusa",80,22.784,45.522
50342,"Satala",80,39.660,40.017
50343,"Savaria",80,16.621,47.234
50344,"Scarbantia",80,16.599,47.690
50345,"Scodra",80,19.511,42.065
50346,"Scythopolis",90,35.504,32.507
50347,"Sebasteia",90,37.032,39.748
50348,"Segusio",70,7.011,45.122
50349,"Senia",80,14.917,44.992
50350,"Serdica",90,23.333,42.730
50351,"Servitium",70,17.263,45.134
50352,"Sicca Veneria",80,8.706,36.176
50353,"Side",90,31.398,36.775
50354,"Siga",80,-1.466,35.257
50355,"Singara",90,41.861,36.328
50356,"Singidunum",90,20.469,44.818
50357,"Sinuessa",80,13.830,41.161
50358,"Sipontum",80,15.895,41.606
50359,"Sirmium",90,19.609,44.965
50360,"Sisapo",70,-4.519,38.644
50361,"Siscia",90,16.370,45.482
